reg;naimko;regko;golofic;filial;dopof;vsego
Тульская область;АО «Солид Банк»;1329;;;1;1
Тульская область;ПАО Сбербанк;1481;;1;106;107
Тульская область;АО МОСОБЛБАНК;1751;;;1;1
Тульская область;АКБ «ФОРА-БАНК» (АО);1885;;;3;3
Тульская область;ПАО Банк «ФК Открытие»;2209;;;4;4
Тульская область;ТКБ БАНК ПАО;2210;;;1;1
Тульская область;ПАО РОСБАНК;2272;;;1;1
Тульская область;ПАО «БАНК УРАЛСИБ»;2275;;;1;1
Тульская область;АО «Банк Русский Стандарт»;2289;;;2;2
Тульская область;АО «Банк ДОМ.РФ»;2312;;;1;1
Тульская область;АО АКБ «НОВИКОМБАНК»;2546;;;1;1
Тульская область;АО «Банк ФИНАМ»;2799;;;1;1
Тульская область;ПАО АКБ «АВАНГАРД»;2879;;;2;2
Тульская область;ООО КБ «АРЕСБАНК»;2914;;1;1;2
Тульская область;ПАО «Промсвязьбанк»;3251;;;7;7
Тульская область;АО «Газэнергобанк»;3252;;;1;1
Тульская область;ПАО Банк ЗЕНИТ;3255;;;1;1
Тульская область;АО «Райффайзенбанк»;3292;;;1;1
Тульская область;АО «Россельхозбанк»;3349;;1;20;21
Тульская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Ярославская область;АО «БКС Банк»;101;;;1;1
Ярославская область;ООО «ХКФ Банк»;316;;;2;2
Ярославская область;Банк ГПБ (АО);354;;;1;1
Ярославская область;ПАО КБ «УБРиР»;429;;;1;1
Ярославская область;АО «Почта Банк»;650;;;4;4
Ярославская область;ПАО «Совкомбанк»;963;;;8;8
Ярославская область;Банк ВТБ (ПАО);1000;;;11;11
Ярославская область;АО «РЕАЛИСТ БАНК»;1067;;;1;1
Ярославская область;ООО «ФФИН Банк»;1143;;;1;1
